Country,Name,Code,AirportCode,AirportName
Curaçao,Coral Estate Luxury Resort,CUR30010,CUR,Curaçao
Mauritius,Friday Attitude,MRU70010,MRU,Mauritius
Turcja,Incekum Beach Resort,AYT55015,AYT,Antalya
Cypr,Loutsiana,LCA20064,LCA,Larnaca
Hiszpania,H10 Estepona Palace,AGP25003,AGP,Costa del Sol
Dominikana,Dreams Macao Beach Punta Cana Resort & SPA,PUJ62144,PUJ,Punta Cana
Turcja,Jiva Beach Resort,DLM23070,DLM,Dalaman
Malediwy,TUI BLUE Olhuveli,MLE30003,MLE,Male
Zjednoczone Emiraty Arabskie,Majestic Hotel,DXB12217,DXB,Dubai
Meksyk,Secrets Maroma Beach Riviera Cancún,CUN42009,CUN,Cancun
Turcja,Pasa Beach,DLM10011,DLM,Dalaman
Grecja,Ikaros Beach Resort & Spa,HER21049,HER,Heraklion
Bu³garia,Hotel Azalia,VAR11025,VAR,Warna
Wyspy Kanaryjskie,Hotel Be Live Experience Lanzarote Beach,ACE22045,ACE,Lanzarote
Grecja,Eliros Mare,HER28022,HER,Heraklion
Grecja,High Beach Hotel,HER21016,HER,Heraklion
Bu³garia,Royal,VAR21042,VAR,Warna
Turcja,Salmakis Beach Resort & Spa,BJV20501,BJV,Milas-Bodrum
Cypr,Coral Beach Hotel & Resorts,PFO13011,PFO,Pafos
Chorwacja,Bluesun Hotel Borak,SPU44012,SPU,Split
Hiszpania,Torre del Mar,IBZ22026,IBZ,Ibiza
Dominikana,Grand Bavaro Princess,PUJ62030,PUJ,Punta Cana
Grecja,MarBella Nido Suite Hotel & Villas,CFU17050,CFU,Korfu
Grecja,La Marquise,RHO13025,RHO,Rodos
Cypr,Hotel Asterias Beach ,LCA20011,LCA,Larnaca
Curaçao,Papagayo Beach Resort,CUR20016,CUR,Curaçao
Wyspy Kanaryjskie,Hipotels La Geria,ACE20005,ACE,Lanzarote
Indonezja - Bali,InterContinental Bali Resort,DPS17004,DPS,Denpasar
Tunezja,Royal Kenz,NBE11090,NBE,Enfidha
Wyspy Kanaryjskie,Bungalows Rio Playa Blanca,ACE23019,ACE,Lanzarote
Grecja,ROBINSON KYLLINI BEACH,GPA10011,GPA,Araxos
Chorwacja,Heritage Jupiter Luxury Hotel,SPU02031,SPU,Split
Sri Lanka,Mount Lavinia Hotel,CMB28010,CMB,Sri Lanka
Grecja,Kairaba Sandy Villas,CFU39017,CFU,Korfu
